case,transition_mode,mixer_method,method,theta,theta_over_pi,beta,beta_over_pi,r,P_valid,P_uniform,delta_theta_pi_vs_exp,delta_beta_pi_vs_exp,delta_r_vs_exp,delta_P_vs_exp,W,valid_windows
05_1d_long_clustered_blocks,cost_phase,rx_all,M2 (eigen),0.7853981633974483,0.25,0.18,0.05729577951308232,2,0.6620111894944497,0.3793103448275862,0.04166666666666669,-0.005204220486917679,0,-0.020431497514306174,29,11
05_1d_long_clustered_blocks,cost_phase,rx_all,M3 (theory),1.5707963267948966,0.5,1.1964627107873127,0.3808459092938592,1,0.5200400636446318,0.3793103448275862,0.2916666666666667,0.3183459092938592,-1,-0.16240262336412403,29,11
05_1d_long_clustered_blocks,cost_phase,rx_all,M4 (grad),1.4317007843818828,0.45572451372584094,0.5235987755982988,0.16666666666666666,2,0.4309051026368792,0.3793103448275862,0.24739118039250763,0.10416666666666666,0,-0.2515375843718767,29,11
05_1d_long_clustered_blocks,cost_phase,rx_all,M5 (hybrid),0.1308996938995747,0.041666666666666664,0.06544984694978735,0.020833333333333332,50,0.7422403408619944,0.3793103448275862,-0.16666666666666666,-0.04166666666666667,48,0.05979765385323854,29,11
05_1d_long_clustered_blocks,cost_phase,rx_all,Experimental,0.6544984694978735,0.20833333333333331,0.19634954084936207,0.0625,2,0.6824426870087559,0.3793103448275862,0.0,0.0,0,0.0,29,11
06_2d_tiny_corner_block,cost_phase,local_geometric,M1 (sweep),0.7853981633974483,0.25,0.32724923474893675,0.10416666666666666,22,0.9555096791553304,0.25,-0.3166666666666666,-0.09583333333333334,15,0.054233039884636014,4,1
06_2d_tiny_corner_block,cost_phase,local_geometric,M2 (eigen),1.5707963267948966,0.5,0.28,0.0891267681314614,7,0.6466674529220926,0.25,-0.06666666666666662,-0.1108732318685386,0,-0.25460918634860175,4,1
06_2d_tiny_corner_block,cost_phase,local_geometric,M3 (theory),1.5707963267948966,0.5,1.1071487177940906,0.3524163823495668,1,0.4675999999999999,0.25,-0.06666666666666662,0.15241638234956678,-6,-0.43367663927069444,4,1
06_2d_tiny_corner_block,cost_phase,local_geometric,M4 (grad),1.1190620768755697,0.356208522322859,0.8822516513769275,0.2808294227352512,7,0.41479508277743093,0.25,-0.2104581443438076,0.08082942273525118,0,-0.4864815564932634,4,1
06_2d_tiny_corner_block,cost_phase,local_geometric,M5 (hybrid),0.6872233929727672,0.21875,0.27816184953659623,0.08854166666666666,25,0.9625219159761697,0.25,-0.34791666666666665,-0.11145833333333334,18,0.061245276705475304,4,1
